"flatId","builder","builderId","url","address","plz","title","imgurl","addedDate","lastRefresh","rooms","size","rent","funds","purchase_price","deposit","moveInDate","floor","constructionYear","placeLat","placeLong","type","status","typeDescription","prebookingStartString","prebookingStartDate","setToPrebookingFullyBookedDate","setToOfflineDate","setToIrrelevantDate","notes","addedDate2","lastRefresh2","isIrrelevant","isOffline","skipWhileCrawling"
"nhg_1220_saltenstrasse3_48erid28837","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28837","Saltenstraße 3 / 48","1220",NULL,NULL,"1644912121658","1646039982396",2,47.99,406.99,2943.39,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646083292657",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_saltenstrasse3_49erid28803","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28803","Saltenstraße 3 / 49","1220",NULL,NULL,"1644573353666","1646527418159",2,50.27,435.16,11681.43,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646570839583",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_saltenstrasse3_5erid28782","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28782","Saltenstraße 3 / 5","1220",NULL,NULL,"1644573351119","1646527418029",3,69.6,567.28,15227.58,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646570839693",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_saltenstrasse3_6erid28783","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28783","Saltenstraße 3 / 6","1220",NULL,NULL,"1644573351194","1646527418036",3,67.7,551.74,14810.39,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646570839562",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_saltenstrasse3_7erid28827","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28827","Saltenstraße 3 / 7","1220",NULL,NULL,"1644573351284","1646599770046",2,46.78,391.33,2830.18,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646643098686",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_saltenstrasse3_9erid28828","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28828","Saltenstraße 3 / 9","1220",NULL,NULL,"1644573351387","1646527418049",2,40.87,344.36,2490.56,NULL,NULL,NULL,NULL,"2022","48.2158593","16.4983503",NULL,NULL,NULL,NULL,NULL,NULL,"1646570839565",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_schlettergasse3_68erid21123","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21123","Schlettergasse 3 / 6 / 8","1220",NULL,NULL,"1648206196122","1648207625028",1,49.97,375,5037.42,NULL,NULL,NULL,NULL,"-","48.2538028","16.4356805",NULL,NULL,NULL,NULL,NULL,NULL,"1648211228955",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_schlettergasse3_89erid21148","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21148","Schlettergasse 3 / 8 / 9","1220",NULL,NULL,"1633614461491","1635143842384",2,57.28,418.41,8232.21,NULL,NULL,NULL,NULL,"-","48.2538028","16.4356805",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288698",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_senekowitschgasse11_33erid21998","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21998","Senekowitschgasse 11 / 3 / 3","1220",NULL,NULL,"1645173250699","1646599770069",3,87.78,688.06,14500.51,NULL,NULL,NULL,NULL,"2013","48.2536954","16.4587311",NULL,NULL,NULL,NULL,NULL,NULL,"1646643098810",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_senekowitschgasse13_226erid21990","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21990","Senekowitschgasse 13 / 2 / 26","1220",NULL,NULL,"1635936566440","1642506083853",4,96.18,796,17136.75,NULL,NULL,NULL,NULL,"2013","48.2537014","16.4586742",NULL,NULL,NULL,NULL,NULL,NULL,"1642699289214",NULL,NULL,NULL,NULL,NULL,True,NULL
